,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,euc
0,"Laula,",lau,0,a,2,1,ictus,0.1569722222222223,0.4120773809523811,441.4564096857044,1674.7557247751868,1233.2993150894824
1,"Laula,",lau,0,u,2,1,ictus,0.07699999999999985,0.4105912698412698,438.83333561341584,1640.9447986046525,1202.1114629912367
2,"Laula,","la,",1,a,2,0,ictus,0.16231950844717513,0.575410778288445,563.9189627863968,1033.169459740238,469.2504969538411
3,"laula,",lau,0,a,2,1,ictus,0.11114484693720583,0.6511709240347116,521.2549332034656,977.5497786489643,456.2948454454987
4,"laula,",lau,0,u,2,1,ictus,0.09945265873172837,0.695051159297837,546.9320424487624,933.3679965969285,386.43595414816605
5,"laula,","la,",1,a,2,0,off,0.1639464216762827,0.8489724987737884,636.3351799429403,1581.678966087896,945.3437861449557
6,"suukene,",suu,0,uː,2,1,ictus,0.31127911667911823,1.1756005452505467,598.6461522739585,1067.2363447501411,468.59019247618266
7,"suukene,",ke,1,e,1,0,off,0.306745577646788,1.4183776567280801,544.6161435699757,1043.1377646717917,498.521621101816
8,"liigu,",lii,0,iː,2,1,off,0.19880272108843577,2.272068027210885,566.6491617164017,1015.3237674921611,448.67460577575935
9,"liigu,","gu,",1,u,2,0,off,0.13431048438689785,2.3507271510535652,537.1008493107659,1028.6159462203,491.5150969095341
10,linnu,lin,0,i,2,1,off,0.07896050642479224,2.4141664777021927,610.1810963047247,1063.9007031743429,453.71960686961813
11,linnu,nu,1,u,1,0,ictus,0.165421686834895,2.6181348817393646,605.9167722999722,757.299077816632,151.3823055166598
12,"keelekene,",kee,0,eː,2,1,ictus,0.26196254430611,2.844675354860467,641.860023046071,794.919270320579,153.05924727450804
13,"keelekene,",le,1,e,2,0,ictus,0.1482806854562888,2.896573594770168,676.8483565433447,752.8818029920413,76.03344644869662
14,"mõlgu,",mõl,0,ɵ,2,1,ictus,0.12356723788024127,4.114246991470808,391.561666156951,1154.5101955547293,762.9485293977783
15,"mõlgu,",mõl,0,l,2,1,ictus,0.10393622364715505,4.156399596177843,392.9432001891568,1954.5047464928089,1561.561546303652
16,"mõlgu,","gu,",1,u,2,0,ictus,0.09144049534526211,4.269836991478574,390.2251641713713,2311.3595524739294,1921.1343883025581
17,marja,mar,0,a,2,1,off,0.13482857869433928,4.386767935933655,381.3375655781571,1394.4218994367452,1013.084333858588
18,marja,ja,1,a,1,0,ictus,0.16375810564870896,4.575896994537597,416.7671339095835,1444.1833695382797,1027.4162356286963
19,"meelekene,",mee,0,eː,2,1,ictus,0.2736973466698842,4.813183804518072,376.82029130146424,983.4779437030292,606.657652401565
20,"meelekene,",le,1,e,2,0,ictus,0.14928946181993652,4.860684996915324,391.4286397795896,841.0017607685727,449.5731209889831
21,"ilutse,",i,0,i,1,1,ictus,0.27198329131762833,5.912390585121291,542.956589972689,873.9889518790063,331.0323619063173
22,"ilutse,",lut,1,ʊ,2,0,ictus,0.12172995391503783,5.922887528072098,527.0378771883549,889.615339215165,362.57746202681017
23,südämekene!,sü,0,y,1,1,off,0.06524794987364224,6.182285364839628,324.8665926845424,1103.8669462522294,779.000353567687
24,südämekene!,dä,1,æ,1,0,off,0.23412611897757962,6.427876193622918,639.8272893212601,677.662785732912,37.83549641165189
25,Küll,küll,0,y,3,1,off,0.06549999999999834,7.326679421768706,808.2282261896589,2148.548214810107,1340.319988620448
26,Küll,küll,0,i,3,1,off,0.025763605442177706,7.319693027210884,735.8850386342498,1914.9632168914984,1179.0781782572485
27,Küll,küll,0,ʎ,3,1,off,0.040000000000000924,7.346811224489796,719.5078294999233,2038.4563289894797,1318.9484994895565
28,Küll,küll,0,ʎ,3,1,off,0.0773212438643025,7.404132468354098,745.2076792570215,1468.3564734324198,723.1487941753983
29,vait,vait,0,a,3,1,ictus,0.2246113275194741,8.03280194965362,616.5034276282887,1404.6202277575285,788.1168001292398
30,valge,val,0,a,2,1,off,0.11976410518339975,10.798431962501489,620.2688529556209,767.119018830433,146.8501658748121
31,valge,val,0,l,2,1,off,0.0961949418296868,10.834744851739476,550.9910824806849,887.260741651715,336.26965917103007
32,valge,ge,1,e,1,0,off,0.15298374126317782,10.999584209880137,738.5167785382322,1752.945388164895,1014.4286096266627
33,lauade,lau,0,a,2,1,off,0.14264700198863878,11.109700069225697,802.0985590552181,2055.030646975157,1252.932087919939
34,lauade,lau,0,u,2,1,off,0.10130004489048261,11.13967661312186,684.4987642931454,1707.2678611107842,1022.7690968176388
35,lauade,a,1,a,1,0,ictus,0.18330528357056508,11.315746179200248,396.3979563552153,814.443268572537,418.04531221732174
36,"vahele,",va,0,a,1,1,off,0.20673478549078084,11.645982995926708,446.19289932644807,1175.178447600496,728.9855482740479
37,"vahele,",he,1,ɛ,1,0,ictus,0.2956307432518166,11.8816606513862,755.8299108584403,1873.7494779434676,1117.9195670850272
