,word,syll,foot,segment,quantity,stressed,ictus,duration,f1,f2,song,performer
306,lasandi.,las,0,a,3,1,off,0.1778640000981113,926.3781022182852,1500.961658718954,18,MH
307,lasandi.,an,1,ɑ,2,1,off,0.1834222501011879,968.0910536205364,1552.2276583207176,18,MH
308,sain,sain,0,ai,3,1,ictus,0.2175000000000002,668.8538235689277,985.4227562731736,41,LK
310,"mal´lika,",li,1,i,2,0,off,0.1307604895159233,473.08383870221417,1086.608163757179,41,LK
312,mal´likast,li,1,i,2,0,off,0.1227136901610972,524.9241067922687,971.51823546659,41,LK
313,sain,sain,0,ai,3,1,ictus,0.1598390022675726,911.9718052813938,1330.894195840944,41,LK
314,"man´nipil´li,",man´,0,a,2,1,off,0.2405921612725414,476.4619315965128,1342.7999070407584,41,LK
315,"man´nipil´li,",ni,1,i,2,0,off,0.1307700443513821,542.9780447393792,969.010727942274,41,LK
316,petsariinist,pet,0,e,2,0,ictus,0.1829709949562641,906.5090026149704,1990.516572723539,41,LK
317,petsariinist,sa,1,a,1,0,off,0.2079421661640239,492.3802220892268,1107.2085876076233,41,LK
318,sain,sain,0,ai,3,1,off,0.2079421661640257,600.2328120089596,951.698080456333,41,LK
319,"riimuka,",rii,0,iː,2,1,ictus,0.2755656348352513,506.5959679211313,1163.6439871393538,41,LK
320,"riimuka,",mu,1,u,2,0,ictus,0.2062515794472439,818.6357878680727,1233.9769944778766,41,LK
321,riimukast,rii,0,iː,2,1,ictus,0.2556622535714545,1046.4691223331208,1955.596253835565,41,LK
322,riimukast,mu,1,u,1,0,ictus,0.1510895691609945,973.4135585809572,1654.9519692201477,41,LK
323,sain,sain,0,ai,3,1,off,0.1756288524534355,973.6291240822826,1617.7920489518265,41,LK
324,"rindasõl´ge,",rin,0,i,2,1,off,0.167928757759423,896.00624452354,1994.224482309329,41,LK
325,"rindasõl´ge,",da,1,a,1,0,ictus,0.2165495809068716,720.2726307073028,1496.7160471863947,41,LK
326,rindasõlesta,rin,0,i,2,1,off,0.188967752639769,561.4148371249854,1554.6291273607048,41,LK
327,rindasõlesta,da,1,a,1,0,ictus,0.2312076032298371,560.9083778550697,1027.6692995434064,41,LK
328,"sõmera,",sõ,0,ɵ,1,1,ictus,0.4246216559317197,561.5541425069816,1459.32547459914,41,LK
329,"sõmera,",me,1,ɛ,1,0,ictus,0.2467696534472274,506.9333401543477,1413.7143745697651,41,LK
330,sõmerast,sõ,0,ɵ,1,0,ictus,0.3745239740458785,836.3373682719124,1681.284357837246,41,LK
331,sõmerast,me,1,ɛ,1,0,ictus,0.1898140672117918,934.6339150074938,1445.7271583606262,41,LK
