,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
111,päälta!,pääl,CVVC,0,ææ,3,1,ictus,0.17874158134240758,103.95108662945327,1065.267673498534,1729.4561469416744
112,päälta!,ta,CV,1,a,2,0,x,0.16078228809361406,104.3048258987028,1033.0700693366084,1341.0571858965207
113,pirdu,pir,CVC,0,i,2,1,ictus,0.12132651187432941,107.56590594433939,680.4751009065544,2350.5811481209307
114,pirdu,du,CV,1,u,1,0,x,0.14310469464908238,107.92795144407849,659.0056529397618,1056.7376056471426
115,"pistussenna,",pis,CVC,0,i,2,1,ictus,0.16899096053420237,108.16413738537915,407.8463292877156,2078.48198800132
116,"pistussenna,",tus,CVC,1,u,2,0,x,0.13740792098195698,108.51701085551008,457.20898032688876,1097.9629839828565
117,võta,võ,CV,0,ɵ,2,1,ictus,0.12726080567099984,111.9077865882998,803.7025927450019,1600.2671530661526
118,võta,ta,CV,1,a,1,0,x,0.18061108221547784,112.24714875310994,1082.4440212021996,1480.252498624366
119,lõmmu,lõm,CVC,0,ɵ,2,1,ictus,0.20319724752937418,112.53295857911088,893.9689119949654,1831.2843821082483
120,lõmmu,mu,CV,1,u,1,0,x,0.15296811527109355,112.87872830944312,675.14449087289,1092.7233298864558
121,lõhna,lõh,CVC,0,ɵ,2,1,ictus,0.17904302123318416,113.14389453306195,768.7620329726059,1629.9880355572834
122,lõhna,na,CV,1,a,1,0,x,0.18783682595578455,113.46827700301799,1068.263193564833,1794.4799215182452
123,"päälta,",pääl,CVVC,0,ææ,3,1,ictus,0.17844498465798608,113.71625897487735,1200.9688779529017,1819.2191072327437
124,"päälta,",ta,CV,1,a,2,0,x,0.17360212644247497,114.08474392612439,1045.7488407414367,1578.0934455465508
125,lõmmu,lõm,CVC,0,ɵ,2,1,ictus,0.1670658949328896,117.36978323734081,710.4245183608726,1697.0401610246595
126,lõmmu,mu,CV,1,u,1,0,x,0.1775470706061668,117.72541123746396,589.7833515106677,1153.2722750535875
127,lõhna,lõh,CVC,0,ɵ,2,1,ictus,0.17971183473902386,117.98826893588273,796.6686768411355,1612.6762480539992
128,lõhna,na,CV,1,a,1,0,x,0.16066448934746802,118.31433189036537,1062.6360232627069,1679.038733942862
129,"päälta,",pääl,CVVC,0,ææ,3,1,ictus,0.1682877902229194,118.58402955732478,938.1450243576146,1824.113993308023
130,"päälta,",ta,CV,1,a,2,0,x,0.1509183440388,118.91354273506792,819.4895423621958,1250.6228679639162
131,võta,võ,CV,0,ɵ,2,1,ictus,0.1380952167675389,121.49252758446029,783.6552548819253,1618.0225013248476
132,võta,ta,CV,1,a,1,0,x,0.2012244587184,121.87722140259841,1179.0896469384325,1620.9038229996258
133,roogu,roo,CVV,0,oo,2,1,ictus,0.23357549790259213,122.18830088198229,923.7282668906682,2213.1184220615387
134,roogu,gu,CV,1,u,1,0,x,0.16867344333748235,122.50680628685473,527.0941819318266,1086.1527725386268
135,räästa,rääs,CVVC,0,ææ,2,1,ictus,0.1455735401157341,122.73523937265318,903.7993742519898,1156.592867539899
136,räästa,ta,CV,1,a,1,0,x,0.17557820417586356,123.11285655047789,999.1701097806948,1354.4489043572437
137,esta!,es,VC,0,e,2,1,ictus,0.15387752725524706,123.31272782604827,791.8051657040468,1669.3679873596698
138,esta!,ta,CV,1,a,2,0,x,0.18007305268365315,123.68065334939254,911.4153396679391,1234.4842913655798
139,Viskan,vis,CVC,0,i,2,1,ictus,0.12625848390173644,126.35152375013206,475.61916121131344,2157.487715836587
140,Viskan,kan,CVC,1,a,2,0,x,0.11497744441869884,126.6898775294982,942.482118699352,1581.7818664304218
141,sissi,sis,CVC,0,i,2,1,ictus,0.16990612100755698,126.96507677380819,602.706276440105,2034.7934669759397
142,sissi,si,CV,1,i,1,0,x,0.17074427912334045,127.33176561554036,467.33942258411486,1903.6543126604845
143,"viljaõnne,",vil,CVC,0,i,2,1,ictus,0.19197504028409185,127.60310962621118,364.88667948286,2090.4022622298944
144,"viljaõnne,",ja,CV,1,a,1,0,x,0.17258526739504987,128.0150305664908,991.751414226349,1549.585405631768
145,kahel,ka,CV,0,a,1,1,ictus,0.23154946135628052,131.3102381106506,1164.890750570988,1198.99726299795
146,kahel,hel,CVC,1,ɛ,2,0,x,0.11345633500036456,131.57051471090116,778.3743914124595,2320.5596328773045
147,karjaõnne.,kar,CVC,0,a,2,1,ictus,0.17899617365426934,132.46539120407692,1001.6004412929022,1464.2242082410978
148,karjaõnne.,ja,CV,1,a,1,0,x,0.1371088223620518,132.8429508682457,963.78994708868,1555.4496828164772
149,tuba,tu,CV,0,u,1,1,ictus,0.23698899559502706,136.71635045431907,691.362032508277,922.4266902722475
150,tuba,ba,CV,1,ɑ,1,0,x,0.1756394034298694,137.01746025206955,967.1743380019135,1435.9635397157383
151,puhtas,puh,CVC,0,u,2,1,ictus,0.1302040615236706,137.28182314394266,655.994549978309,955.3652616867803
152,puhtas,tas,CVC,1,a,2,0,x,0.08160756525651891,137.59980375451147,818.1825740319605,1572.955373470049
153,"pestu,",pes,CVC,0,e,2,1,ictus,0.1213265118743152,137.8772972944491,632.8992935891083,1722.10897696724
154,"pestu,",tu,CV,1,u,2,0,x,0.15809910553187478,138.24722748643939,484.3711866587743,1041.1742726178904
155,sängi,sän,CVC,0,æ,2,1,ictus,0.1747244302540878,141.5364413563015,909.529317284228,1957.6485353909402
156,ästi,äs,VC,0,æ,2,1,ictus,0.1420407943894304,142.1024638996226,988.8054481251231,1357.7841825835199
157,ästi,ti,CV,1,i,1,0,x,0.16410078308913967,142.49383920596114,353.0805745244573,2254.371249449772
158,om,om,VC,0,o,3,1,x,0.153379413798433,146.19300220689922,880.3656715285425,1251.1517790051296
159,elle,el,VC,0,e,2,1,ictus,0.17557820417584935,146.4362174810132,705.3917330800381,2388.3379249152076
160,elle,le,CV,1,e,1,0,x,0.17891214855180237,146.78667447074963,844.4468761254113,1434.171846202094
161,"perenaine,",pe,CV,0,e,1,1,ictus,0.23586810607076814,147.08088614657615,751.8668663869272,2205.36130667503
162,"perenaine,",re,CV,1,ɛ,1,0,x,0.18959119647601597,147.3813894999218,740.1745140229469,2028.6455933590696
163,annab,an,VC,0,a,2,1,ictus,0.17405064673710058,150.69900956252042,1168.41024111588,1345.1010644413332
164,annab,nab,CVC,1,a,2,0,x,0.08777370207221225,150.99669177086236,1092.935263345285,1457.2232414705934
