,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
0,sain,sain,"['C', 'VVV', 'C']",0,ai,3,1,ictus,0.21750000000000025,4.263002267573697,714.0715357968329,1129.944777615632
1,"mal´lika,",mal´,"['C', 'V', 'CC']",0,a(i),2,1,off,0.1790552098692233,4.614737874330443,946.0218210350926,1448.3486618320478
2,"mal´lika,",li,"['C', 'VV', 'na']",1,i,2,0,ictus,0.13076048951592334,4.936602886411314,574.0961185858455,1864.2379849790625
3,mal´likast,mal´,"['C', 'V', 'CC']",0,a(i),2,1,ictus,0.19335348119968288,5.891855940280881,1075.4294888291693,1570.3292085691105
4,mal´likast,li,"['C', 'VV', 'na']",1,i,2,0,off,0.12271369016109723,6.186454818309457,589.298997879259,1688.8446583624898
5,sain,sain,"['C', 'VVV', 'C']",0,ai,3,1,off,0.15983900226757264,6.843504535147393,726.2486821138739,1464.8305152401772
6,"man´nipil´li,",man´,"['C', 'V', 'CC']",0,a(i),2,1,ictus,0.24059216127254146,7.231304826393209,1019.7223556568623,1563.474025503276
7,"man´nipil´li,",ni,"['C', 'VV', 'na']",1,i,2,0,off,0.13077004435138218,7.5309258881741545,493.4653391661523,1222.8364386099543
8,petsariinist,pet,"['C', 'V', 'CC']",0,e,2,0,ictus,0.18297099495626412,14.273478628301273,582.118842703618,1242.8698524211927
9,petsariinist,sa,"['C', 'V', 'na']",1,a,1,0,off,0.20794216616402394,14.673496201591881,830.6650500751082,1462.7041690036142
10,sain,sain,"['C', 'VVV', 'C']",0,ai,3,1,ictus,0.20794216616402572,15.680127649268584,745.5882972345939,1101.6049330429917
11,"riimuka,",rii,"['C', 'VV', 'na']",0,iː,2,1,off,0.2755656348352513,16.089010075848364,766.7764871998414,1256.8215882110314
12,"riimuka,",mu,"['C', 'VV', 'na']",1,u,2,0,ictus,0.20625157944724393,16.421500571262897,628.0771198256773,1008.1229617434165
13,riimukast,rii,"['C', 'VV', 'na']",0,iː,2,1,ictus,0.25566225357145456,17.527497687146422,592.0772977809596,1226.3653781301957
14,riimukast,mu,"['C', 'V', 'na']",1,u,1,0,off,0.15108956916099459,17.833282879818594,583.4143947079924,1004.6888216283555
15,sain,sain,"['C', 'VVV', 'C']",0,ai,3,1,off,0.1756288524534355,18.440134063154954,692.9870429832378,1283.0226318253776
16,"rindasõl´ge,",rin,"['C', 'VV', 'C']",0,i,2,1,ictus,0.16792875775942306,18.760772974576206,591.71379274972,1251.9512965461065
17,"rindasõl´ge,",da,"['C', 'V', 'na']",1,a,1,0,off,0.2165495809068716,19.16524204146053,910.0401229329125,1521.3719485830386
18,rindasõlesta,rin,"['C', 'VV', 'C']",0,i,2,1,ictus,0.18896775263976906,20.55544586747296,434.9642129653259,1858.336146063061
19,rindasõlesta,da,"['C', 'V', 'na']",1,a,1,0,off,0.23120760322983713,21.018972648948157,830.9967179653161,1530.2103292531333
20,"sõmera,",sõ,"['C', 'V', 'na']",0,ɵ,1,1,off,0.42462165593171974,22.64578824731752,565.2675247139626,1515.654718702668
21,"sõmera,",me,"['C', 'V', 'na']",1,ɛ,1,0,ictus,0.24676965344722745,23.08152565340452,732.002834234615,2457.660951749325
22,sõmerast,sõ,"['C', 'V', 'na']",0,ɵ,1,0,ictus,0.37452397404587856,24.04772060380299,664.7160698836624,1637.1580516700262
23,sõmerast,me,"['C', 'V', 'na']",1,ɛ,1,0,off,0.18981406721179184,24.418017584208727,660.6977640195075,948.602461540606
24,sain,sain,"['C', 'VVV', 'C']",0,ai,3,1,off,0.14649999999999963,25.049083333333336,757.162312864555,1212.7414515871635
25,"soolavakka,",soo,"['C', 'VV', 'na']",0,oː,2,1,ictus,0.3324733390461567,25.4821828146478,588.545598586611,1136.8139249667477
26,"soolavakka,",la,"['C', 'V', 'na']",1,a,1,0,off,0.21354082561326493,25.82975970909643,929.495369685717,1347.5864074040755
27,soolavakast,soo,"['C', 'VVV', 'na']",0,oː,3,1,ictus,0.3505759410407876,26.852546851597804,601.9557578353488,1096.0379694907938
28,soolavakast,la,"['C', 'V', 'na']",1,a,1,1,off,0.23771108142140207,27.19607977769867,825.7006396635115,1394.5028182117699
29,"vaisiküisi,",vai,"['C', 'VV', 'na']",0,ai,2,1,ictus,0.26249188232335996,28.17774321291144,862.7879490398585,1226.6599003118904
30,"vaisiküisi,",si,"['C', 'VV', 'na']",1,i,2,0,off,0.2050717830651223,28.53948983823832,585.1521818331421,669.149693914539
31,vaisiküisist,vai,"['C', 'VV', 'na']",0,ai,2,1,ictus,0.3326511042271676,29.574642743291783,557.8540781550585,1283.3667088385357
32,vaisiküisist,si,"['C', 'VV', 'na']",1,i,2,0,off,0.21023549787157236,29.909955056352768,588.7999676354442,2604.1665579158916
33,kübara,kü,"['C', 'V', 'na']",0,y,1,1,ictus,0.32290642383403423,30.938780918339294,589.7110085777583,1024.862617661827
34,kübara,ba,"['C', 'V', 'na']",1,ɑ,1,0,off,0.23815617165974245,31.32386558753887,906.967848476974,1377.132151392933
35,sain,sain,"['C', 'VVV', 'C']",0,ai,3,1,off,0.1979075324986539,33.36320893216336,551.0380644069311,1573.0910241920794
36,"künnirauda,",kün,"['C', 'VV', 'C']",0,y,2,1,ictus,0.22760842461430286,33.72180826377584,415.92895388489706,1670.0595880216747
37,"künnirauda,",ni,"['C', 'V', 'na']",1,i,1,0,off,0.2796883183819858,34.15870070593804,558.8207309788703,2435.0852161694575
38,künnirauast,kün,"['C', 'VV', 'C']",0,y,2,1,ictus,0.26267244574859916,35.50816944605995,502.03566107992657,1196.6792963480566
