,word,word_dur,syll,quantity,stress,segment,seg_duration,seg_midpoint,ictus,f1,f2,f3
0,Ui-sui-sui-sui,1.2971455352775991,ui,3,1,u,0.10322600151171583,0.05161300075585792,ictus,735.3277292712019,2002.7106326333492,2764.3199902068623
1,Ui-sui-sui-sui,1.2971455352775991,ui,3,1,iː,0.1369094860166289,0.17168074452003027,ictus,934.1456276696723,1833.7038430838145,2616.7552053316194
2,Ui-sui-sui-sui,1.2971455352775991,sui,3,1,s,0.06500000000000003,0.2726354875283447,ictus,981.5888443649975,2056.8873568376066,2632.960527880943
3,Ui-sui-sui-sui,1.2971455352775991,sui,3,1,u,0.10150000000000003,0.35588548752834476,ictus,958.8559874515629,1841.5036992225514,2488.4214392988138
4,Ui-sui-sui-sui,1.2971455352775991,sui,3,1,iː,0.13825718065003756,0.47576407785336355,off,470.6838083300434,1001.8286086414265,2784.2548787030782
5,Ui-sui-sui-sui,1.2971455352775991,sui,3,1,s,0.06333333333333346,0.5765593348450491,off,455.9418674538322,995.204041519185,2572.09552407463
6,Ui-sui-sui-sui,1.2971455352775991,sui,3,1,u,0.10263794406651539,0.6595449735449734,ictus,548.1076311570694,1124.6092225253824,2812.069213919548
7,Ui-sui-sui-sui,1.2971455352775991,sui,3,1,iː,0.1383620559334846,0.7800449735449735,ictus,481.7768213441691,2024.8676554410897,2892.3164000685474
8,Ui-sui-sui-sui,1.2971455352775991,sui,3,1,s,0.06290948601662893,0.8806807445200302,ictus,331.21825168812774,2261.3322043214525,2451.8982933476486
9,Ui-sui-sui-sui,1.2971455352775991,sui,3,1,u,0.13875718065003784,0.9815140778533636,ictus,579.965965292361,1199.4243244283432,2043.3017892601897
10,Ui-sui-sui-sui,1.2971455352775991,sui,3,1,iː,0.24625286709921657,1.1740191017279908,off,407.1868903535195,2316.1485919680354,2682.8096525776778
11,"sun´niman´ni,",1.4000220122468474,sun´,2,1,s,0.13915208377001997,1.3667215771626091,ictus,516.8225915189718,1063.8609581512967,2404.5358840292183
12,"sun´niman´ni,",1.4000220122468474,sun´,2,1,u,0.20462224858313927,1.5386087433391888,ictus,558.1859616228489,2256.3389440052933,2983.6774968831874
13,"sun´niman´ni,",1.4000220122468474,sun´,2,1,n,0.1121724418820591,1.697006088571788,ictus,595.3877598066833,1178.7327417227982,2313.6710607279683
14,"sun´niman´ni,",1.4000220122468474,sun´,2,1,(´) n,0.11150144992438804,1.8088430344750115,off,374.20263963397343,2177.2139340330978,2652.4743913843845
15,"sun´niman´ni,",1.4000220122468474,ni,1,0,(n) i,0.11946278403360133,1.9243251514540063,ictus,562.9361330254885,1272.324572347371,2232.319308827433
16,"sun´niman´ni,",1.4000220122468474,ni,1,0,(i) m,0.15824107557681222,2.063177081259213,ictus,570.1291954076529,1651.6464645787578,2458.163104345036
17,"sun´niman´ni,",1.4000220122468474,man´,2,0,(m) a,0.21915271943842818,2.251873978766833,ictus,439.5417927517979,1061.1215405900712,2653.2072786060403
18,"sun´niman´ni,",1.4000220122468474,man´,2,0,(a) n,0.0977422778456738,2.410321477408884,ictus,463.01794023284435,1298.0705590541734,2717.7960087631873
19,"sun´niman´ni,",1.4000220122468474,man´,2,0,n,0.0889128258451497,2.503649029254296,off,445.70452379044707,1167.488719634953,2634.9120201977926
20,"sun´niman´ni,",1.4000220122468474,man´,2,0,(´) i,0.1490621053475758,2.6226364948506586,ictus,918.1252389445267,1295.890514207897,2289.9419056708634
21,sun´niman´nist,1.385884009868624,sun´,2,1,s,0.11105751344591841,2.7526963042474057,ictus,640.5112962172548,973.2436412286914,2232.7176853538886
22,sun´niman´nist,1.385884009868624,sun´,2,1,u,0.24180707225861697,2.929128597099673,ictus,498.86496294905476,1149.566330530633,2723.791745073554
23,sun´niman´nist,1.385884009868624,sun´,2,1,n,0.08086850461264738,3.0904663855353056,ictus,447.1470093780244,1403.4756857516666,2680.101968471172
24,sun´niman´nist,1.385884009868624,sun´,2,1,(´) n,0.059999213099705795,3.160900244391482,off,565.6248093182824,2356.1761384056726,2519.5309338561096
25,sun´niman´nist,1.385884009868624,ni,1,0,(n) i,0.1654811014396178,3.273640401661144,off,536.9033781230536,1682.728002051476,2496.124646039235
26,sun´niman´nist,1.385884009868624,ni,1,0,(i) m,0.1145255102040812,3.4136437074829935,ictus,569.0675643496287,1180.762474526322,2430.9091957469905
27,sun´niman´nist,1.385884009868624,man´,2,0,(m) a,0.26658121780778954,3.6041970714889286,ictus,525.2047322530901,1078.5736410588684,2651.262231844193
