,Unnamed: 0,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,fileid,performer
315,30,"palada,",pa,CV ,0,a,1,1,off,0.289297636386248,22.23954109656756,1159.830160298776,1424.454021467649,9,MH
316,31,"palada,",la,CV ,1,ɑ,1,0,ictus,0.2381702857205496,22.58017215679945,1030.497199434457,1456.5957326586513,9,MH
317,32,jätän,jä,C V,0,æ,2,1,ictus,0.1748115093536384,25.29539125066093,977.8184417435187,1856.2704806352813,9,MH
318,33,jätän,tän,CVVC,1,æ,2,0,off,0.1724610436802081,25.64612851589082,981.0093046936314,1702.495093032407,9,MH
319,34,vihma,vih,CVVC,0,i,2,1,off,0.2852544538223398,26.356856254172417,464.9041928007603,1828.255687987409,9,MH
320,35,vihma,ma,CV ,1,a,1,0,ictus,0.2461904134710124,26.78401773133199,877.8494471086343,1363.216785164001,9,MH
321,36,"valada,",va,CV ,0,a,1,1,off,0.2474661668935667,27.14242414706688,1047.96773571446,1472.0618679202578,9,MH
322,37,"valada,",la,CV ,1,ɑ,1,0,ictus,0.2538802337047912,27.472883309237883,1020.3615957360272,1401.6491597142217,9,MH
323,38,ligi,li,CV ,0,i,1,1,ictus,0.343919417290575,30.391617520519347,478.4829741012598,2101.906335265988,9,MH
324,39,ligi,gi,CV ,1,ɪ,1,0,off,0.2797091496682853,30.796216096614177,598.3624198018294,1873.8467540213485,9,MH
325,40,maada,maa,CVV,0,aː,2,1,ictus,0.2560671284393052,31.145193019216503,1167.1702079583206,1442.445757861752,9,MH
326,41,maada,da,CV ,1,a,1,0,off,0.2626575872516454,31.591089946213398,944.580812529696,1519.649674928702,9,MH
327,42,ligunema.,li,CV ,0,i,1,1,ictus,0.2937662390930526,31.967374950414897,480.8622273612082,1509.3890525168915,9,MH
328,43,ligunema.,gu,CV ,1,ʊ,1,0,off,0.2939042451413485,32.38631306227605,692.8424320741099,1060.5547042300518,9,MH
329,44,"Perenaine,",pe,CV ,0,e,1,0,ictus,0.3586017995691719,35.55160847346754,677.4571152857733,1463.9674676656623,9,MH
330,45,"Perenaine,",re,CV ,1,ɛ,1,0,off,0.2878589442313384,35.91002160521829,739.3876288772219,2020.9083905188704,9,MH
331,46,"linnukene,",lin,CVVC,0,i,2,1,ictus,0.2413804592319195,37.00993540601952,631.8547663969821,676.7992236843352,9,MH
332,47,"linnukene,",nu,C V,1,u,2,0,off,0.2351232635410198,37.401839190389566,708.4346812990333,1032.7042563031328,9,MH
333,48,tule,tu,CV ,0,u,1,1,ictus,0.3180009941377406,40.261885984597214,621.9281676587278,997.9335741384448,9,MH
334,49,tule,le,CV ,1,ɛ,1,0,off,0.2305163374977823,40.622335065017765,779.9985746097659,1470.7620056332848,9,MH
335,50,talu,ta,CV ,0,a,1,1,ictus,0.3147679495096298,40.999864300238485,1200.503642578583,1418.7464627306667,9,MH
336,51,talu,lu,CV ,1,ʊ,1,0,off,0.2310648591766906,41.35108177075101,547.4209473826272,851.1678902649737,9,MH
337,52,"tuastagi,",tuas,CVVVC,0,u,3,1,ictus,0.3099841086974706,41.7296644082363,672.7380444924943,1047.8386642182616,9,MH
338,53,"tuastagi,",ta,CV ,1,a,1,1,off,0.2498981986606878,42.00960556191538,1049.728495174473,1297.1372020230945,9,MH
339,54,orjal,or,VVVC,0,o,2,1,ictus,0.2470513932241829,45.672860030428446,800.3552212429967,1237.7721984694397,9,MH
340,55,orjal,jal,CVVC,1,a,2,0,off,0.2179232443386141,46.14752958651469,935.937781390505,1470.3175324263166,9,MH
341,56,oodakuta!,ood,VVVVC,0,oː,3,1,ictus,0.3173740500327255,46.49365412929078,793.7702747430682,1203.5867070094732,9,MH
342,57,oodakuta!,a,V V,1,a,2,1,off,0.220724894728626,46.8813154423237,976.2776859711104,1305.9005955751195,9,MH
343,0,Laske,las,CVVC,0,a,2,1,ictus,0.1945432826169622,0.1745080759686907,886.4407408342954,1581.0562054889756,18,MH
344,1,Laske,ke,CV ,1,e,1,0,off,0.1901218443756676,0.5821388225094628,655.7470955387637,2091.7751464779826,18,MH
345,2,sissi,sis,CVVC,0,i,2,1,ictus,0.1687515595427438,0.8940893751745583,400.257510931524,1775.0934139137717,18,MH
346,3,sissi,si,CV ,1,i,1,0,off,0.1893241770180587,1.2916160959298533,467.3935133198321,2059.5841638156303,18,MH
347,4,"kadrisandi,",kad,CVVC,0,a,2,1,ictus,0.2619810954886461,1.6315503394438853,904.3947407712146,1613.7851224470733,18,MH
348,5,"kadrisandi,",ri,CV ,1,i,1,0,off,0.1670082467464977,2.014036763814959,547.911589561845,2074.1232145807658,18,MH
349,6,Laske,las,CVVC,0,a,2,1,ictus,0.1665572562358281,5.768752551020407,875.2063764307483,1580.0950860475232,18,MH
350,7,Laske,ke,CV ,1,e,1,0,off,0.1627626842129625,6.135397569458144,665.3964871782167,2248.8562900094207,18,MH
351,8,sissi,sis,CVVC,0,i,2,1,ictus,0.1646244063507342,6.406592531973554,575.6239882751921,1879.984556325948,18,MH
352,9,sissi,si,CV ,1,i,1,0,off,0.1772559147827985,6.794163955123826,535.417869350235,1554.7145468976985,18,MH
353,10,"kadrisandi,",kad,CVVC,0,a,2,1,ictus,0.2247564439324749,7.105995287447405,1088.7525265410668,1679.6744094174278,18,MH
354,11,"kadrisandi,",ri,CV ,1,i,1,0,off,0.1644624704972033,7.449520593103223,621.2364424061423,1971.7133730674557,18,MH
355,12,kadril,kad,CVVC,0,a,2,1,ictus,0.2155274119570354,10.916384536651869,1187.4150823657842,1443.01517236019,18,MH
356,13,kadril,kad,CVVC,0,i,2,1,off,0.1420407943894588,11.267294229222644,476.14144810117614,2181.758862698834,18,MH
357,14,küüdse,küüd,CVVC,0,yy,2,1,ictus,0.2462718180679477,11.589940901344068,660.892957592667,2225.175787228501,18,MH
358,15,küüdse,se,CV ,1,e,1,0,off,0.1821145190119359,11.940922385202988,738.1963198855126,2153.05924091728,18,MH
359,16,"külmeteve,",kül,CVVC,0,y,2,1,ictus,0.17557820417586,12.205885815953522,515.6396404632359,2016.278556613776,18,MH
360,17,"külmeteve,",me,C V,1,e,2,0,off,0.1262584839017417,12.556974534182611,832.2205925248315,1658.2015472968862,18,MH
361,18,kadril,kad,CVVC,0,a,2,1,ictus,0.2138447200959774,16.17903221761641,1184.7807039489912,1400.134248070971,18,MH
362,19,kadril,ril,CVVC,1,i,2,0,off,0.0985593174767558,16.5070697288504,510.7150529345655,1943.0654670170736,18,MH
363,20,varba,var,CVVC,0,a,2,1,ictus,0.1339010344051452,16.76732170876064,933.8286245000866,1477.9608546554905,18,MH
364,21,varba,ba,CV ,1,a,1,0,off,0.1835993299115834,17.176961450230863,1105.3719445610716,1441.485909269395,18,MH
365,22,valutave!,va,CV ,0,a,1,1,ictus,0.2381143547194604,17.47121133947745,1064.5448454129587,1663.3348235539402,18,MH
366,23,valutave!,lu,C V,1,ʊ,2,0,off,0.1242927897269225,17.73133096867011,719.9212393877409,1125.8485653188502,18,MH
367,24,tullu,tul,CVVC,0,u,2,1,ictus,0.1676870489320023,21.843592003286894,670.2866889821369,1082.377296528526,18,MH
368,25,tullu,lu,CV ,1,u,1,0,off,0.1169407093001666,22.20488544042006,664.911439473875,1031.4663482597575,18,MH
369,26,ümmert,üm,VVVC,0,y,2,1,ictus,0.1989451529930619,26.42337785714869,604.3677594647343,1448.8230907588108,18,MH
370,27,ümmert,mert,CVCC,1,e,2,0,off,0.1573994829869427,26.747850783160143,893.8256931885169,2162.634575294164,18,MH
371,28,"ilma,",il,VVVC,0,i,2,1,ictus,0.2122526002306841,27.0711202542084,565.7221973049208,1354.7405252155174,18,MH
372,29,"ilma,",ma,C V,1,a,2,0,off,0.2259643189902824,27.49222064662732,1135.3787699666536,1563.5602006919748,18,MH
373,30,ümmert,üm,VVVC,0,y,2,1,ictus,0.2089466623782918,27.709676137311604,556.2634661630494,1837.4759080857789,18,MH
374,31,ümmert,mert,CVCC,1,e,2,0,off,0.1144217510359517,28.02656433446616,967.8070096743978,1954.5933239916253,18,MH
375,32,"otsa,",ot,VVCC,0,o,2,1,ictus,0.1646138938934669,28.309155627425262,883.3905329443478,1377.1474535254297,18,MH
376,33,"otsa,",sa,C V,1,a,2,0,off,0.2049937658531533,28.724020762273227,1065.1657595575048,1394.3358480071793,18,MH
377,34,läbi,lä,CV ,0,æ,1,1,ictus,0.1615384732666207,31.507241180033358,961.9011034689976,1544.0225781838703,18,MH
378,35,läbi,bi,CV ,1,ɪ,1,0,off,0.2073178293412461,31.82362219360602,335.8060733126289,2239.237390570947,18,MH
379,36,"sipa-sopa,",si,C V,0,i,2,1,ictus,0.1633156085490128,32.75279322094117,416.9665617684416,1998.8669463580743,18,MH
380,37,"sipa-sopa,",si,C V,0,o,2,1,ictus,0.1760904469155377,33.417243140124434,670.2367946846407,1195.339783441765,18,MH
381,38,"sipa-sopa,",pa,CV ,1,a,1,0,off,0.1947704733294131,33.12575018000196,997.3050170553656,1415.676514572747,18,MH
382,39,"sipa-sopa,",pa,CV ,1,a,1,0,off,0.1764711583356302,33.82846474583448,900.018831065258,1370.0349163217395,18,MH
383,40,läbi,lä,CV ,0,æ,1,1,ictus,0.19915483482756,36.68490554232668,934.9298548546852,1536.3304827838488,18,MH
384,41,läbi,bi,CV ,1,ɪ,1,0,off,0.2370781515607092,37.02880403646453,346.4609274081377,2144.237310381961,18,MH
385,42,laane,laa,CVV,0,aː,2,1,ictus,0.267246562330115,37.36624480894282,959.4957460006468,1482.2110374070396,18,MH
386,43,laane,ne,CV ,1,e,1,0,off,0.19915483482756,37.6728183414055,799.1692808729954,2108.412920863201,18,MH
387,44,lipa-lapa.,li,C V,0,i,2,1,ictus,0.1257820009437296,37.89283004954578,554.6944411304747,1781.6102162740954,18,MH
388,45,lipa-lapa.,li,C V,0,a,2,1,ictus,0.1418114715012279,38.526827610750615,923.7585888858796,1541.156599799624,18,MH
389,46,lipa-lapa.,pa,CV ,1,a,1,0,off,0.1939139181215736,38.28327834414192,1049.333889554087,1497.6004955292706,18,MH
390,47,lipa-lapa.,pa,CV ,1,a,1,0,off,0.2031111895353916,38.90112326043107,1093.009641840065,1398.487916234078,18,MH
391,48,uppus,up,VVVCC,0,u,3,1,ictus,0.1163945398469152,42.15043101062196,835.7183091634503,1106.4783503397257,18,MH
392,49,uppus,pus,CVVC,1,u,2,0,off,0.1392608069850496,42.50545583532772,563.8678616890402,942.0964693348418,18,MH
393,50,ojasse,o,V,0,o,1,1,ictus,0.1953060922855058,42.80645444524345,785.492260060502,1113.264284899235,18,MH
394,51,ojasse,jas,CVVC,1,ɑ,2,0,off,0.127053457007058,43.0852065754423,970.0743632911934,1517.223131884975,18,MH
395,52,vahele,va,CV ,0,a,1,1,ictus,0.239837077963898,47.79880150243144,1053.1560725480117,1503.1089997181357,18,MH
