Filename,position,segment,syllable,F1,F2,F3,performer,euc
92,off,a,2,811.435302,1346.492836,1609.022,LK,535.0575339
92,off,a,2,800.2421059,1446.833109,1924.761272,LK,646.5910029
92,off,a,2,826.2409605,1425.992918,2607.875796,LK,599.7519571
94,off,a,2,915.1375331,1347.133957,2610.988662,LK,431.9964241
94,off,a,2,919.3925933,1319.594479,1793.809734,LK,400.2018853
65,ictus,a,1,922.5333976,1421.449921,2322.239819,LK,498.9165239
65,ictus,a,1,921.227242,1286.698563,2057.060922,LK,365.4713213
92,ictus,a,1,802.89438,1293.642351,2334.509933,LK,490.7479707
65,ictus,a,2,922.5333976,1421.449921,2322.239819,LK,498.9165239
65,ictus,a,2,921.227242,1286.698563,2057.060922,LK,365.4713213
92,ictus,a,2,802.89438,1293.642351,2334.509933,LK,490.7479707
65,off,a,1,896.6745861,1570.536826,1899.893299,LK,673.8622394
94,ictus,æ,1,728.7266551,1601.069588,2216.081659,LK,872.3429325
94,ictus,æ,2,728.7266551,1601.069588,2216.081659,LK,872.3429325
94,off,æ,1,904.6102114,1382.740103,2235.157005,LK,478.1298914
65,off,ɑ,2,777.7792046,1356.183562,1942.791589,LK,578.4043569
65,off,ɑ,2,833.6165882,1424.285919,2457.795992,LK,590.6693305
65,off,ɑ,2,985.7320512,1481.119245,1763.301928,LK,495.3871934
65,off,ɑ,2,990.1955167,1396.385787,2279.160376,LK,406.1902699
65,off,ɑ,2,1024.594837,1243.528833,2071.444782,LK,218.9339969
65,off,ɑ,2,819.5368173,1543.077763,1719.257575,LK,723.5409461
41,off,ɑ,2,907.5994039,1390.420985,2582.438214,LK,482.8215814
41,off,ɑ,2,855.9235829,1513.425945,2048.259956,LK,657.5023618
94,off,ɑ,2,891.103507,1207.228272,1786.838303,LK,316.1247651
94,off,ɑ,2,792.8790102,1367.330103,2264.479747,LK,574.451093
94,off,ɑ,2,932.7883582,1585.921985,2170.040853,LK,653.1336265
65,ictus,e,1,703.0708081,1664.886133,2611.790796,LK,961.8153252
41,ictus,e,1,581.7863868,1245.51695,2505.893015,LK,663.7305629
41,ictus,e,1,575.379253,1247.081824,2517.302948,LK,671.7025711
94,ictus,e,1,742.3506236,1564.636931,2487.506838,LK,822.2863073
94,ictus,e,1,624.1034541,1419.3539,2484.09841,LK,795.2504461
65,ictus,e,2,703.0708081,1664.886133,2611.790796,LK,961.8153252
41,ictus,e,2,581.7863868,1245.51695,2505.893015,LK,663.7305629
41,ictus,e,2,575.379253,1247.081824,2517.302948,LK,671.7025711
94,ictus,e,2,742.3506236,1564.636931,2487.506838,LK,822.2863073
94,ictus,e,2,624.1034541,1419.3539,2484.09841,LK,795.2504461
94,off,e,1,709.497797,1470.412746,2435.117056,LK,760.9149486
94,off,e,1,731.0298689,1376.570254,2353.186559,LK,645.5403849
65,off,e,2,649.9086805,1008.149144,2565.279116,LK,358.2404634
65,off,e,2,760.5280556,2412.365161,2800.368143,LK,1651.837105
65,off,e,2,785.9486347,1298.17694,2399.033936,LK,512.228305
65,off,e,2,856.9883055,1014.529148,2389.316021,LK,157.5408429
65,off,e,2,870.0293693,1556.619062,2136.434461,LK,686.5896929
65,off,e,2,619.693925,1522.786918,2330.141903,LK,903.0929929
65,off,e,2,576.4521198,1528.730557,2442.91678,LK,952.2784367
65,off,e,2,573.4102104,1627.502812,2348.0639,LK,1054.092601
65,off,e,2,724.2843986,1671.380299,2195.431564,LK,947.0959005
41,off,e,2,564.7710926,1338.016234,2230.74715,LK,773.2451416
94,off,e,2,539.4478332,1427.144763,2475.456464,LK,887.6969301
94,off,e,2,556.1995436,1371.030656,2314.696784,LK,814.8311121
92,off,e,1,614.9338272,1663.519598,2691.527935,LK,1048.58577
65,off,ɛ,2,753.2008361,1454.578591,2157.359088,LK,701.3777547
65,off,ɛ,2,744.2304557,1244.258025,2237.174259,LK,500.0275691
41,off,ɛ,2,565.93357,2185.519854,2990.276471,LK,1619.586284
41,off,ɛ,2,669.7375951,948.7050456,2290.601443,LK,278.9674505
65,ictus,i,1,622.0148055,1292.625857,2771.167059,LK,670.6110515
65,ictus,i,1,538.6352875,1769.946407,2639.342369,LK,1231.31112
41,ictus,i,1,590.3268503,1255.702772,2596.552885,LK,665.3759221
41,ictus,i,1,434.9392314,1870.367783,2808.785372,LK,1435.428552
41,ictus,i,1,541.3337081,2606.822028,2937.119846,LK,2065.48832
92,ictus,i,1,661.7981443,1361.417554,2474.579584,LK,699.6194097
92,ictus,i,1,404.2295402,1598.507272,2772.69786,LK,1194.277732
92,ictus,i,1,545.8821592,1739.281576,2723.395066,LK,1193.399417
94,ictus,i,1,489.0121771,1205.744719,2648.09182,LK,716.732542
94,ictus,i,1,469.6361518,1614.491484,2750.853232,LK,1144.855332
94,ictus,i,1,687.8659084,1695.359188,2750.466368,LK,1007.49328
65,ictus,i,2,622.0148055,1292.625857,2771.167059,LK,670.6110515
65,ictus,i,2,538.6352875,1769.946407,2639.342369,LK,1231.31112
41,ictus,i,2,590.3268503,1255.702772,2596.552885,LK,665.3759221
41,ictus,i,2,434.9392314,1870.367783,2808.785372,LK,1435.428552
41,ictus,i,2,541.3337081,2606.822028,2937.119846,LK,2065.48832
92,ictus,i,2,661.7981443,1361.417554,2474.579584,LK,699.6194097
92,ictus,i,2,404.2295402,1598.507272,2772.69786,LK,1194.277732
92,ictus,i,2,545.8821592,1739.281576,2723.395066,LK,1193.399417
94,ictus,i,2,489.0121771,1205.744719,2648.09182,LK,716.732542
94,ictus,i,2,469.6361518,1614.491484,2750.853232,LK,1144.855332
94,ictus,i,2,687.8659084,1695.359188,2750.466368,LK,1007.49328
65,off,i,1,788.0992991,825.3318911,2465.436067,LK,37.23259204
94,off,i,1,510.7939864,2037.645949,2473.816661,LK,1526.851963
65,off,i,2,527.1176444,1222.392016,2591.357881,LK,695.2743721
65,off,i,2,450.4082445,2002.605853,2510.980136,LK,1552.197609
65,off,i,2,605.0463381,1169.405947,2509.764076,LK,564.3596092
65,off,i,2,559.4751378,1664.49745,2750.250607,LK,1105.022312
65,off,i,2,481.262413,1707.869716,2568.636289,LK,1226.607303
65,off,i,2,538.4432875,1524.749089,2557.815832,LK,986.305802
41,off,i,2,588.8650221,1693.646036,2589.040464,LK,1104.781014
41,off,i,2,493.5651716,1219.195646,2675.510985,LK,725.6304741
41,off,i,2,583.1156522,2013.975212,2742.347208,LK,1430.85956
41,off,i,2,590.341473,2590.62296,2966.39457,LK,2000.281487
41,off,i,2,559.0207312,2390.9765,2681.663253,LK,1831.955769
41,off,i,2,562.1410801,1227.483676,2799.224492,LK,665.3425957
92,off,i,2,616.1750151,2409.217143,2727.973736,LK,1793.042128
92,off,i,2,507.3851291,1325.386047,2621.252185,LK,818.0009179
92,off,i,2,430.6044967,1727.132,2754.108885,LK,1296.527504
92,off,i,2,551.7840681,1743.554303,2717.270813,LK,1191.770235
92,off,i,2,577.2884735,1717.210579,2643.439474,LK,1139.922106
94,off,i,2,537.2317087,2549.926753,2789.10696,LK,2012.695045
94,off,i,2,549.8182871,1170.936084,2771.075658,LK,621.1177968
94,off,i,2,548.7127536,1542.055545,2670.868553,LK,993.3427916
65,ictus,i,1,374.067788,1317.863732,2940.343294,LK,943.7959435
41,ictus,i,1,591.1806529,893.0859831,2632.770552,LK,301.9053303
94,ictus,i,1,480.1078131,2140.350813,2983.030352,LK,1660.242999
94,ictus,i,1,367.2351538,1824.106024,2923.761659,LK,1456.87087
65,ictus,i,2,374.067788,1317.863732,2940.343294,LK,943.7959435
41,ictus,i,2,591.1806529,893.0859831,2632.770552,LK,301.9053303
94,ictus,i,2,480.1078131,2140.350813,2983.030352,LK,1660.242999
94,ictus,i,2,367.2351538,1824.106024,2923.761659,LK,1456.87087
41,off,i,1,761.1962486,1306.700377,2579.176727,LK,545.5041286
41,off,i,1,564.598477,1352.714089,2261.283388,LK,788.1156125
94,off,i,1,509.5762488,1624.167602,2593.928015,LK,1114.591353
94,off,i,1,471.3847341,2860.370389,2942.384229,LK,2388.985655
92,ictus,i,1,512.4936993,2514.13921,2744.030105,LK,2001.645511
92,ictus,i,2,512.4936993,2514.13921,2744.030105,LK,2001.645511
65,off,i,1,393.4707843,1738.075707,2512.705642,LK,1344.604923
92,off,i,1,436.3366743,1565.092265,2495.733456,LK,1128.75559
94,off,i,2,629.3009957,1533.554274,2584.441792,LK,904.2532784
65,off,ɪ,2,429.3771198,2025.806464,2569.321949,LK,1596.429344
