Filename,label,segment,syllable, h1 , h2 , h1-h2 
18,ictus,al,1,22.18645979,40.10173394,-17.91527415
18,ictus,a,1,16.61423307,34.81679059,-18.20255752
18,ictus,æːl,1,18.8956421,30.8712539,-11.9756118
18,ictus,i,1,16.25353023,33.27693343,-17.0234032
18,ictus,i,1,21.5405395,37.58555131,-16.04501181
18,ictus,ɵ,1,12.45353923,32.41124458,-19.95770535
18,ictus,ɵ,1,26.33540027,40.99746122,-14.66206095
18,ictus,ɵ,1,14.24146874,32.42876717,-18.18729843
18,ictus,æːl,1,14.43063486,29.73889068,-15.30825582
18,ictus,ɵ,1,18.41687979,34.6783601,-16.26148032
18,ictus,ɵ,1,14.92231567,33.5558389,-18.63352322
18,ictus,æːl,1,29.5360445,25.45298519,4.083059307
18,ictus,ɵ,1,8.827469227,35.57240991,-26.74494068
18,ictus,oː,1,26.92628833,41.700047,-14.77375867
18,ictus,æː,1,17.01458754,28.19505947,-11.18047192
18,ictus,e,1,12.12011587,39.4962298,-27.37611393
18,ictus,iiː,1,20.46682779,39.4831837,-19.01635591
18,ictus,iiː,1,17.89042744,40.02214818,-22.13172074
18,ictus,o,1,22.72517326,39.85479377,-17.12962052
18,ictus,iiː,1,24.96550436,42.17748488,-17.21198052
18,ictus,o,1,-0.556960806,39.88499862,-40.44195942
18,ictus,uiː,1,6.609819559,35.43699434,-28.82717478
18,ictus,æ:,1,17.73305013,31.32782662,-13.59477649
18,ictus,a,1,31.59258657,29.73420259,1.858383975
18,ictus,u,1,11.96241102,34.5139399,-22.55152888
18,ictus,a,1,10.9049428,27.62945112,-16.72450832
18,ictus,a,1,19.99485688,27.80098414,-7.806127268
18,ictus,a,1,18.61688321,33.62557118,-15.00868797
18,ictus,æ,1,20.87867923,27.78702596,-6.908346727
18,ictus,a,1,20.8862482,34.99040609,-14.10415788
18,ictus,a,1,17.7391984,38.13805494,-20.39885654
18,ictus,a,1,23.25434249,36.46422113,-13.20987865
18,ictus,a,1,20.83801487,35.9985774,-15.16056253
18,ictus,aː,1,15.4028745,27.89404,-12.4911655
18,ictus,aː,1,19.33176337,33.09300766,-13.76124429
18,ictus,a,1,23.3761718,15.72766231,7.648509488
18,ictus,a,1,20.12732083,33.74972362,-13.62240279
